"","ID","N_NESTS","LATERAL_STRUCTURE","STRUCTURE_MATERIAL","STRUCTURE_SIDE","ASYMM_SIDE","RELIABILITY","REP","categorias","match_mismatch"
"2933",3763,1,"y","art","right",1,"1","","1_right","mismatch"
"2936",3765,1,"y","art","right",0,"2","n","0_right","match"
"2944",3770,1,"y","art","right",1,"1","","1_right","mismatch"
"2951",3773,1,"y","nat","left",0,"2","y","0_left","mismatch"
"2952",3774,1,"y","nat","left",1,"2","n","1_left","match"
"2961",3779,1,"y","art","right",0,"0","","0_right","match"
"2963",3784,1,"y","art","left",1,"2","n","1_left","match"
"2979",3798,1,"y","art","left",0,"2","n","0_left","mismatch"
"2982",3800,1,"y","art","right",0,"2","n","0_right","match"
"3002",3819,1,"y","art","right",0,"0","","0_right","match"
"3004",3820,1,"y","art","left",0,"1","","0_left","mismatch"
"3035",3848,1,"y","art","left",1,"1","","1_left","match"
"3040",3854,1,"y","art","left",1,"2","n","1_left","match"
"3041",3855,1,"y","art","left",1,"2","y","1_left","match"
"3043",3857,1,"y","art","right",0,"2","y","0_right","match"
"3046",3861,1,"y","art","left",0,"2","n","0_left","mismatch"
"3048",3862,1,"y","art","left",1,"2","y","1_left","match"
"3052",3867,1,"y","art","right",0,"2","n","0_right","match"
"3053",3867,2,"y","art","left",0,"2","n","0_left","mismatch"
"3059",3873,1,"y","nat","left",0,"2","n","0_left","mismatch"
"3066",3889,1,"y","art","left",1,"2","n","1_left","match"
"3068",3891,1,"y","art","right",0,"2","y","0_right","match"
"3079",3903,1,"y","art","right",1,"1","","1_right","mismatch"
"3104",3933,1,"y","art","left",1,"2","y","1_left","match"
"3127",3960,1,"y","nat","right",0,"2","n","0_right","match"
"3134",3966,1,"y","art","left",1,"1","","1_left","match"
"3141",3992,1,"y","nat","left",1,"1","","1_left","match"
"3149",4000,1,"y","nat","right",0,"1","","0_right","match"
"3152",4004,1,"y","nat","right",0,"1","","0_right","match"
"3156",4009,1,"y","nat","right",1,"1","","1_right","mismatch"
"3157",4010,1,"y","nat","left",0,"0","","0_left","mismatch"
"3161",4014,1,"y","art","left",1,"2","n","1_left","match"
"3162",4015,1,"y","art","left",1,"2","n","1_left","match"
"3171",4024,1,"y","art","right",0,"2","y","0_right","match"
"3176",4029,1,"y","art","left",1,"1","","1_left","match"
"3178",4032,1,"y","art","left",0,"2","n","0_left","mismatch"
"3179",4033,1,"y","art","left",0,"2","n","0_left","mismatch"
"3181",4035,1,"y","art","right",1,"2","n","1_right","mismatch"
"3182",4036,1,"y","nat","left",0,"2","n","0_left","mismatch"
"3188",4042,1,"y","art","right",1,"2","y","1_right","mismatch"
"3201",4058,1,"y","art","left",0,"2","n","0_left","mismatch"
"3208",4063,2,"y","art","right",0,"1","","0_right","match"
"3211",4066,1,"y","nat","right",0,"2","y","0_right","match"
"3222",4076,1,"y","art","right",0,"2","n","0_right","match"
"3229",4083,1,"y","art","right",1,"2","n","1_right","mismatch"
"3240",4094,1,"y","art","right",0,"2","y","0_right","match"
"3245",4099,1,"y","art","right",1,"2","n","1_right","mismatch"
"3246",4100,1,"y","art","right",0,"2","n","0_right","match"
"3262",4116,1,"y","art","right",1,"1","","1_right","mismatch"
"3263",4117,1,"y","art","right",0,"1","","0_right","match"
"3264",4118,1,"y","art","right",0,"2","n","0_right","match"
"3266",4120,1,"y","art","left",1,"2","n","1_left","match"
"3267",4121,1,"y","art","right",0,"0","","0_right","match"
"3268",4121,2,"y","art","left",0,"1","","0_left","mismatch"
"3271",4123,1,"y","art","right",0,"1","","0_right","match"
"3272",4124,1,"y","art","right",0,"2","n","0_right","match"
"3281",4135,1,"y","art","right",0,"2","n","0_right","match"
"3282",4236,1,"y","art","left",0,"1","","0_left","mismatch"
"3289",4142,1,"y","art","right",0,"1","","0_right","match"
"3291",4145,1,"y","art","right",0,"1","","0_right","match"
"3294",4148,1,"y","art","right",1,"1","","1_right","mismatch"
"3295",4149,1,"y","art","right",0,"2","y","0_right","match"
"3299",4154,1,"y","art","left",0,"1","","0_left","mismatch"
"3300",4155,1,"y","art","right",0,"1","","0_right","match"
"3304",4159,1,"y","art","right",1,"1","","1_right","mismatch"
"3309",4163,1,"y","art","left",1,"2","n","1_left","match"
"3316",4172,1,"y","art","right",0,"2","n","0_right","match"
"3317",4172,2,"y","art","right",0,"2","n","0_right","match"
"3321",4177,1,"y","art","right",0,"1","","0_right","match"
"3322",4177,2,"y","art","left",0,"1","","0_left","mismatch"
"3325",4181,1,"y","art","right",0,"2","n","0_right","match"
"3329",4185,1,"y","art","right",0,"2","n","0_right","match"
"3338",4193,1,"y","art","right",0,"2","n","0_right","match"
"3341",4196,1,"y","art","right",0,"2","n","0_right","match"
"3342",4197,1,"y","art","right",1,"2","n","1_right","mismatch"
"3345",4202,1,"y","art","right",1,"2","y","1_right","mismatch"
"3347",4204,1,"y","nat","right",0,"2","n","0_right","match"
"3360",4219,2,"y","art","right",1,"2","n","1_right","mismatch"
"3366",4224,1,"y","art","right",0,"2","n","0_right","match"
"3367",4224,2,"y","art","left",1,"2","n","1_left","match"
"3371",4227,2,"y","art","left",0,"1","","0_left","mismatch"
"3373",4229,1,"y","art","right",0,"1","","0_right","match"
"3376",4231,2,"y","art","right",1,"2","n","1_right","mismatch"
"3378",4231,4,"y","art","left",1,"2","n","1_left","match"
"3380",4238,1,"y","art","right",0,"2","n","0_right","match"
"3397",4252,1,"y","art","left",1,"2","y","1_left","match"
"3401",4260,1,"y","art","right",0,"2","n","0_right","match"
"3410",4269,1,"y","art","right",0,"1","","0_right","match"
"3411",4270,1,"y","art","left",1,"1","","1_left","match"
"3430",4284,1,"y","art","left",1,"2","n","1_left","match"
"3437",4289,1,"y","art","left",1,"2","n","1_left","match"
"3438",4290,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3449",4301,1,"y","art","right",0,"1","","0_right","match"
"3450",4302,1,"y","nat","left",0,"2","n","0_left","mismatch"
"3462",4314,1,"y","nat","right",0,"2","n","0_right","match"
"3465",4317,1,"y","art","right",0,"2","n","0_right","match"
"3480",4330,1,"y","nat","left",1,"2","n","1_left","match"
"3507",4352,1,"y","art","right",0,"2","n","0_right","match"
"3508",4352,2,"y","art","left",1,"2","n","1_left","match"
"3516",4359,1,"y","art","right",0,"2","n","0_right","match"
"3518",4361,1,"y","art","right",1,"2","n","1_right","mismatch"
"3519",4362,1,"y","nat","left",1,"2","n","1_left","match"
"3522",4364,1,"y","art","left",1,"2","n","1_left","match"
"3524",4366,1,"y","art","right",0,"2","n","0_right","match"
"3525",4367,1,"y","art","left",0,"1","","0_left","mismatch"
"3526",4368,1,"y","art","right",0,"2","n","0_right","match"
"3527",4368,2,"y","art","right",0,"2","n","0_right","match"
"3529",4371,1,"y","art","right",0,"2","n","0_right","match"
"3554",4396,1,"y","art","left",0,"2","n","0_left","mismatch"
"3555",4397,1,"y","art","right",0,"2","n","0_right","match"
"3556",4398,1,"y","art","right",1,"2","n","1_right","mismatch"
"3557",4399,1,"y","art","left",0,"2","n","0_left","mismatch"
"3558",4400,1,"y","art","left",1,"2","n","1_left","match"
"3563",4407,1,"y","art","right",1,"2","n","1_right","mismatch"
"3564",4410,1,"y","nat","left",0,"2","n","0_left","mismatch"
"3565",4411,1,"y","nat","left",1,"2","y","1_left","match"
"3567",4413,1,"y","nat","left",1,"1","","1_left","match"
"3568",4416,1,"y","art","right",0,"1","","0_right","match"
"3569",4417,1,"y","art","left",1,"1","","1_left","match"
"3573",4420,2,"y","art","right",1,"2","n","1_right","mismatch"
"3577",4424,1,"y","art","left",0,"1","","0_left","mismatch"
"3578",4425,1,"y","art","right",0,"1","","0_right","match"
"3588",4435,1,"y","art","left",1,"2","n","1_left","match"
"3589",4435,2,"y","art","left",1,"2","n","1_left","match"
"3590",4435,3,"y","art","left",1,"2","y","1_left","match"
"3600",4448,1,"y","art","right",1,"2","n","1_right","mismatch"
"3603",4451,1,"y","art","right",0,"2","n","0_right","match"
"3604",4452,1,"y","nat","right",0,"2","n","0_right","match"
"3607",4455,1,"y","nat","left",0,"0","","0_left","mismatch"
"3617",4465,1,"y","art","right",1,"0","","1_right","mismatch"
"3629",4477,1,"y","art","left",1,"2","n","1_left","match"
"3635",4484,1,"y","art","left",1,"2","n","1_left","match"
