"","ID","N_NESTS","LATERAL_STRUCTURE","STRUCTURE_MATERIAL","STRUCTURE_SIDE","ASYMM_SIDE","RELIABILITY","REP","categorias","match_mismatch"
"6484",7335,1,"y","art","right",0,"2","n","0_right","match"
"6486",7340,1,"y","art","right",0,"2","n","0_right","match"
"6488",7342,1,"y","art","right",0,"2","n","0_right","match"
"6489",7343,1,"y","art","right",0,"2","n","0_right","match"
"6491",7345,1,"y","art","right",0,"2","n","0_right","match"
"6494",7349,1,"y","nat","right",0,"2","n","0_right","match"
"6501",7358,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6503",7360,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6504",7361,1,"y","art","right",0,"2","n","0_right","match"
"6505",7361,2,"y","art","right",0,"2","n","0_right","match"
"6508",7364,1,"y","nat","right",0,"2","n","0_right","match"
"6510",7366,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6517",7373,1,"y","art","left",1,"2","n","1_left","match"
"6523",7378,1,"y","nat","right",0,"2","n","0_right","match"
"6525",7381,1,"y","nat","right",0,"1","","0_right","match"
"6537",7393,1,"y","nat","left",1,"2","n","1_left","match"
"6538",7394,1,"y","nat","left",1,"2","n","1_left","match"
"6550",7411,1,"y","nat","right",0,"2","n","0_right","match"
"6563",7424,1,"y","art","right",0,"2","n","0_right","match"
"6571",7430,1,"y","art","right",0,"2","n","0_right","match"
"6580",7439,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6585",7444,1,"y","art","right",0,"2","n","0_right","match"
"6600",7459,1,"y","art","right",0,"2","n","0_right","match"
"6601",7460,1,"y","art","left",0,"2","y","0_left","mismatch"
"6602",7460,2,"y","art","right",0,"2","y","0_right","match"
"6603",7462,1,"y","art","right",0,"2","y","0_right","match"
"6613",7474,1,"y","art","right",0,"2","n","0_right","match"
"6615",7474,3,"y","art","left",0,"2","n","0_left","mismatch"
"6617",7476,1,"y","nat","left",1,"2","y","1_left","match"
"6620",7480,1,"y","nat","right",0,"2","n","0_right","match"
"6624",7483,1,"y","nat","right",0,"2","n","0_right","match"
"6630",7489,1,"y","art","right",0,"2","n","0_right","match"
"6631",7490,1,"y","art","left",1,"2","y","1_left","match"
"6633",7492,1,"y","art","right",0,"2","y","0_right","match"
"6634",7493,1,"y","art","left",1,"2","y","1_left","match"
"6635",7494,1,"y","art","right",0,"2","y","0_right","match"
"6637",7496,1,"y","art","right",0,"2","y","0_right","match"
"6640",7499,1,"y","art","left",1,"2","n","1_left","match"
"6644",7503,1,"y","nat","left",1,"2","n","1_left","match"
"6645",7504,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6647",7506,1,"y","nat","right",0,"2","n","0_right","match"
"6648",7507,1,"y","nat","left",1,"2","n","1_left","match"
"6651",7510,1,"y","art","left",1,"2","n","1_left","match"
"6654",7513,1,"y","art","right",0,"2","n","0_right","match"
"6656",7515,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6657",7516,1,"y","art","right",0,"2","y","0_right","match"
"6658",7517,1,"y","art","left",1,"2","y","1_left","match"
"6666",7526,1,"y","art","right",0,"2","y","0_right","match"
"6667",7527,1,"y","art","right",0,"2","n","0_right","match"
"6668",7528,1,"y","art","left",1,"2","y","1_left","match"
"6669",7529,1,"y","art","left",0,"2","y","0_left","mismatch"
"6670",7529,2,"y","art","right",1,"2","y","1_right","mismatch"
"6674",7536,1,"y","nat","right",0,"2","n","0_right","match"
"6675",7538,1,"y","nat","right",0,"2","n","0_right","match"
"6681",7546,1,"y","nat","left",1,"2","n","1_left","match"
"6682",7547,1,"y","nat","right",0,"2","n","0_right","match"
"6688",7551,1,"y","nat","left",1,"2","n","1_left","match"
"6693",7557,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6694",7558,1,"y","art","left",1,"1","","1_left","match"
"6698",7561,1,"y","art","left",1,"2","n","1_left","match"
"6703",7566,1,"y","art","right",1,"2","n","1_right","mismatch"
"6707",7574,1,"y","art","right",1,"2","n","1_right","mismatch"
"6708",7575,1,"y","nat","left",0,"1","","0_left","mismatch"
"6710",7577,1,"y","nat","left",1,"2","n","1_left","match"
"6711",7578,1,"y","nat","left",1,"2","n","1_left","match"
"6712",7580,1,"y","nat","right",0,"2","n","0_right","match"
"6720",7590,1,"y","nat","left",1,"2","n","1_left","match"
"6725",7595,1,"y","art","right",0,"2","n","0_right","match"
"6729",7598,2,"y","art","left",1,"2","n","1_left","match"
"6738",7603,1,"y","art","right",0,"1","","0_right","match"
"6748",7613,1,"y","nat","left",1,"2","n","1_left","match"
"6770",7630,1,"y","nat","left",1,"2","n","1_left","match"
"6771",7631,1,"y","nat","left",1,"2","n","1_left","match"
"6787",7643,1,"y","art","right",0,"2","n","0_right","match"
"6790",7646,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6792",7648,1,"y","nat","left",0,"1","","0_left","mismatch"
"6795",7651,2,"y","art","right",0,"2","n","0_right","match"
"6803",7656,1,"y","art","right",1,"2","n","1_right","mismatch"
"6817",7669,1,"y","art","right",0,"2","y","0_right","match"
"6830",7684,1,"y","art","right",0,"2","n","0_right","match"
"6831",7685,1,"y","art","right",0,"2","n","0_right","match"
"6833",7688,1,"y","art","left",0,"2","n","0_left","mismatch"
"6852",7710,1,"y","art","right",0,"2","n","0_right","match"
"6854",7712,1,"y","art","right",1,"1","","1_right","mismatch"
"6862",7719,1,"y","art","left",0,"1","","0_left","mismatch"
"6865",7722,1,"y","art","right",0,"2","n","0_right","match"
"6866",7723,1,"y","art","left",1,"2","y","1_left","match"
"6867",7724,1,"y","art","left",0,"2","y","0_left","mismatch"
"6871",7729,1,"y","art","left",1,"1","","1_left","match"
"6873",7731,1,"y","art","left",1,"2","n","1_left","match"
"6879",7741,1,"y","art","right",0,"2","n","0_right","match"
"6880",7742,1,"y","art","right",0,"2","n","0_right","match"
"6881",7743,1,"y","art","left",1,"2","n","1_left","match"
"6889",7752,1,"y","nat","right",0,"0","","0_right","match"
"6897",7762,1,"y","art","left",1,"2","y","1_left","match"
"6899",7764,1,"y","art","right",0,"2","n","0_right","match"
"6900",7765,1,"y","art","right",0,"2","n","0_right","match"
"6901",7766,1,"y","nat","left",1,"2","y","1_left","match"
"6902",7767,1,"y","art","left",1,"2","n","1_left","match"
"6904",7770,1,"y","art","left",1,"0","","1_left","match"
"6905",7770,2,"y","art","right",1,"2","n","1_right","mismatch"
"6906",7771,1,"y","nat","right",0,"1","","0_right","match"
"6911",7776,1,"y","art","right",0,"2","n","0_right","match"
"6913",7778,1,"y","art","right",0,"2","y","0_right","match"
"6914",7779,1,"y","art","right",0,"2","y","0_right","match"
"6917",7783,1,"y","art","right",0,"1","","0_right","match"
"6919",7785,1,"y","art","left",0,"2","n","0_left","mismatch"
"6921",7787,1,"y","art","left",0,"1","","0_left","mismatch"
"6922",7788,1,"y","art","right",0,"1","","0_right","match"
"6933",7798,1,"y","art","right",0,"2","n","0_right","match"
"6937",7802,1,"y","art","left",1,"1","","1_left","match"
"6938",7803,1,"y","art","right",0,"1","","0_right","match"
"6948",7813,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6967",7832,1,"y","art","right",1,"2","n","1_right","mismatch"
"6971",7835,1,"y","art","left",0,"2","n","0_left","mismatch"
"6972",7836,1,"y","art","right",0,"1","","0_right","match"
"6974",7839,1,"y","nat","left",1,"2","n","1_left","match"
"6987",7847,2,"y","art","left",0,"2","n","0_left","mismatch"
"6995",7857,1,"y","nat","left",1,"2","n","1_left","match"
"6996",7858,1,"y","art","right",0,"2","n","0_right","match"
"6998",7861,1,"y","art","left",1,"2","n","1_left","match"
"7000",7863,1,"y","art","left",1,"2","y","1_left","match"
"7001",7864,1,"y","art","left",0,"2","y","0_left","mismatch"
"7002",7865,1,"y","art","left",0,"2","y","0_left","mismatch"
"7003",7866,1,"y","art","left",1,"2","n","1_left","match"
"7004",7867,1,"y","art","left",0,"2","n","0_left","mismatch"
"7018",7882,1,"y","art","right",0,"2","y","0_right","match"
"7025",7889,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7026",7890,1,"y","art","left",0,"2","n","0_left","mismatch"
"7034",7898,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7041",7904,1,"y","art","right",0,"2","n","0_right","match"
"7042",7904,2,"y","art","left",0,"2","n","0_left","mismatch"
"7043",7905,1,"y","art","right",0,"2","n","0_right","match"
"7057",7916,1,"y","nat","right",0,"1","","0_right","match"
"7062",7922,1,"y","art","right",0,"2","n","0_right","match"
"7063",7923,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7065",7927,1,"y","art","right",0,"2","n","0_right","match"
"7069",7936,1,"y","nat","left",1,"2","n","1_left","match"
"7074",7942,1,"y","art","left",1,"1","","1_left","match"
"7082",7949,1,"y","art","left",1,"2","y","1_left","match"
"7083",7950,1,"y","art","left",0,"2","y","0_left","mismatch"
"7084",7951,1,"y","art","left",0,"2","y","0_left","mismatch"
"7085",7952,1,"y","art","right",0,"2","y","0_right","match"
"7088",7955,1,"y","art","right",0,"1","","0_right","match"
"7090",7957,1,"y","art","right",1,"1","","1_right","mismatch"
"7091",7958,1,"y","art","right",0,"2","n","0_right","match"
"7092",7959,1,"y","art","left",1,"2","y","1_left","match"
"7093",7960,1,"y","art","left",1,"2","y","1_left","match"
"7094",7961,1,"y","art","left",1,"2","y","1_left","match"
"7095",7962,1,"y","art","left",1,"2","y","1_left","match"
"7103",7973,1,"y","art","left",1,"2","n","1_left","match"
"7104",7974,1,"y","art","right",1,"2","y","1_right","mismatch"
"7105",7975,1,"y","art","left",1,"2","y","1_left","match"
"7106",7976,1,"y","art","right",0,"2","y","0_right","match"
"7107",7977,1,"y","art","right",0,"2","y","0_right","match"
"7123",7992,1,"y","art","left",1,"2","y","1_left","match"
"7124",7993,1,"y","art","right",0,"2","y","0_right","match"
"7129",8000,1,"y","art","right",1,"2","n","1_right","mismatch"
"7134",8005,1,"y","nat","right",0,"1","","0_right","match"
"7149",8021,2,"y","art","right",0,"0","","0_right","match"
"7154",8027,1,"y","nat","right",0,"1","","0_right","match"
"7158",8031,1,"y","art","left",1,"2","y","1_left","match"
"7159",8032,1,"y","art","left",1,"2","y","1_left","match"
"7164",8040,1,"y","art","right",0,"2","y","0_right","match"
"7165",8040,2,"y","art","left",0,"2","n","0_left","mismatch"
"7168",8043,1,"y","art","left",0,"2","y","0_left","mismatch"
"7169",8044,1,"y","art","left",1,"2","y","1_left","match"
"7176",8051,1,"y","nat","left",1,"2","n","1_left","match"
"7185",8061,1,"y","art","right",0,"2","y","0_right","match"
"7192",8068,1,"y","art","left",1,"2","y","1_left","match"
"7194",8070,1,"y","nat","left",0,"2","y","0_left","mismatch"
"7195",8071,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7206",8084,1,"y","art","right",0,"2","n","0_right","match"
"7207",8084,2,"y","art","left",0,"2","n","0_left","mismatch"
"7211",8092,1,"y","art","left",0,"2","n","0_left","mismatch"
"7226",8126,1,"y","art","right",0,"2","n","0_right","match"
"7233",8134,1,"y","nat","left",1,"2","n","1_left","match"
"7236",8141,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7237",8142,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7240",8145,1,"y","nat","right",0,"2","n","0_right","match"
"7241",8146,1,"y","nat","right",0,"2","n","0_right","match"
"7245",8150,1,"y","nat","right",0,"2","n","0_right","match"
"7246",8151,1,"y","nat","left",0,"2","y","0_left","mismatch"
"7247",8152,1,"y","art","left",1,"2","y","1_left","match"
"7248",8153,1,"y","art","left",1,"2","y","1_left","match"
"7322",8225,1,"y","art","left",1,"2","y","1_left","match"
"7325",8228,1,"y","nat","right",0,"2","n","0_right","match"
"7328",8234,1,"y","art","left",1,"2","n","1_left","match"
"7334",8245,1,"y","art","left",0,"2","n","0_left","mismatch"
"7335",8246,1,"y","art","right",0,"2","n","0_right","match"
"7336",8248,1,"y","art","left",0,"2","n","0_left","mismatch"
"7337",8250,1,"y","art","right",0,"2","n","0_right","match"
"7362",8272,1,"y","art","left",1,"1","","1_left","match"
"7367",8277,1,"y","art","left",0,"2","y","0_left","mismatch"
"7368",8278,1,"y","nat","right",0,"2","n","0_right","match"
"7369",8279,1,"y","nat","right",0,"1","","0_right","match"
"7371",8281,1,"y","nat","right",0,"2","n","0_right","match"
"7372",8282,1,"y","art","right",0,"2","y","0_right","match"
"7376",8286,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7383",8296,1,"y","art","left",1,"2","n","1_left","match"
"7385",8298,1,"y","art","right",0,"1","","0_right","match"
"7393",8304,1,"y","art","left",0,"2","n","0_left","mismatch"
"7422",8337,1,"y","art","right",0,"2","y","0_right","match"
"7424",8339,1,"y","art","right",0,"2","y","0_right","match"
"7425",8340,1,"y","art","right",1,"2","y","1_right","mismatch"
"7427",8342,1,"y","art","left",1,"2","y","1_left","match"
"7432",8348,1,"y","art","right",1,"2","n","1_right","mismatch"
"7439",8357,1,"y","art","left",0,"1","","0_left","mismatch"
"7444",8362,1,"y","art","right",1,"2","n","1_right","mismatch"
"7445",8363,1,"y","art","right",1,"2","n","1_right","mismatch"
"7446",8364,1,"y","nat","left",1,"1","","1_left","match"
"7453",8371,1,"y","nat","right",0,"2","y","0_right","match"
"7467",8382,3,"y","art","right",0,"2","y","0_right","match"
"7474",8391,1,"y","nat","left",1,"2","n","1_left","match"
"7481",8398,1,"y","nat","right",1,"1","","1_right","mismatch"
"7492",8409,1,"y","art","right",0,"2","n","0_right","match"
"7514",8435,1,"y","nat","right",0,"2","n","0_right","match"
"7516",8442,1,"y","art","right",0,"2","n","0_right","match"
"7519",8445,2,"y","art","right",1,"2","n","1_right","mismatch"
"7524",8449,1,"y","art","right",0,"2","n","0_right","match"
"7547",8477,1,"y","art","left",1,"1","","1_left","match"
"7564",8497,1,"y","art","right",0,"2","n","0_right","match"
"7566",8500,1,"y","art","right",1,"2","n","1_right","mismatch"
"7568",8501,1,"y","art","right",0,"2","n","0_right","match"
"7580",8510,3,"y","art","right",1,"1","","1_right","mismatch"
"7582",8511,1,"y","art","right",1,"2","n","1_right","mismatch"
"7584",8512,1,"y","art","right",0,"2","n","0_right","match"
"7585",8517,1,"y","nat","right",0,"2","n","0_right","match"
"7588",8520,1,"y","art","left",0,"2","n","0_left","mismatch"
"7592",8524,1,"y","art","right",0,"2","n","0_right","match"
"7597",8529,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7598",8531,1,"y","nat","left",1,"2","y","1_left","match"
"7603",8536,1,"y","art","left",1,"2","y","1_left","match"
"7604",8537,1,"y","art","left",0,"2","n","0_left","mismatch"
"7605",8539,1,"y","art","left",0,"2","n","0_left","mismatch"
"7606",8540,1,"y","art","left",1,"2","y","1_left","match"
"7607",8541,1,"y","art","right",1,"2","n","1_right","mismatch"
"7608",8542,1,"y","art","right",1,"2","y","1_right","mismatch"
"7611",8546,1,"y","nat","left",1,"2","n","1_left","match"
"7628",8563,1,"y","nat","right",0,"2","n","0_right","match"
"7630",8565,1,"y","art","left",1,"2","n","1_left","match"
"7634",8569,1,"y","art","left",0,"1","","0_left","mismatch"
"7635",8569,2,"y","art","right",1,"2","n","1_right","mismatch"
"7636",8570,1,"y","art","left",0,"2","n","0_left","mismatch"
"7637",8571,1,"y","art","right",1,"1","","1_right","mismatch"
"7644",8577,1,"y","art","right",0,"2","n","0_right","match"
"7647",8581,1,"y","art","left",1,"2","n","1_left","match"
"7650",8584,1,"y","art","left",1,"2","n","1_left","match"
"7652",8587,1,"y","art","left",1,"2","n","1_left","match"
"7654",8590,1,"y","art","left",0,"2","n","0_left","mismatch"
"7655",8591,1,"y","art","right",0,"2","n","0_right","match"
"7656",8592,1,"y","nat","left",1,"2","n","1_left","match"
"7658",8594,1,"y","art","right",1,"2","n","1_right","mismatch"
"7660",8596,1,"y","nat","left",1,"2","n","1_left","match"
"7680",8616,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7681",8617,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7684",8620,1,"y","nat","left",0,"0","","0_left","mismatch"
"7686",8622,1,"y","nat","left",1,"2","n","1_left","match"
"7688",8624,1,"y","nat","right",0,"1","","0_right","match"
"7690",8626,1,"y","nat","left",1,"1","","1_left","match"
"7692",8628,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7699",8635,1,"y","art","right",1,"1","","1_right","mismatch"
"7702",8639,1,"y","art","right",1,"2","n","1_right","mismatch"
"7705",8643,1,"y","art","left",0,"2","n","0_left","mismatch"
"7706",8644,1,"y","art","right",1,"2","n","1_right","mismatch"
"7707",8645,1,"y","nat","left",1,"2","n","1_left","match"
"7709",8647,1,"y","art","left",0,"2","n","0_left","mismatch"
"7716",8655,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7718",8659,1,"y","art","right",1,"1","","1_right","mismatch"
"7719",8659,2,"y","art","left",0,"1","","0_left","mismatch"
"7721",8662,1,"y","art","right",0,"1","","0_right","match"
"7722",8663,1,"y","art","right",0,"2","n","0_right","match"
"7728",8668,1,"y","art","right",1,"2","n","1_right","mismatch"
"7743",8683,1,"y","nat","right",0,"2","n","0_right","match"
"7746",8686,1,"y","art","right",0,"2","n","0_right","match"
"7750",8690,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7752",8692,1,"y","nat","left",1,"2","n","1_left","match"
"7759",8699,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7771",8709,1,"y","art","right",0,"2","n","0_right","match"
"7783",8721,1,"y","art","left",0,"2","n","0_left","mismatch"
"7791",8727,3,"y","art","right",0,"0","","0_right","match"
"7792",8727,4,"y","art","left",1,"0","","1_left","match"
"7807",8741,1,"y","art","left",1,"1","","1_left","match"
"7822",8757,1,"y","art","right",0,"1","","0_right","match"
"7826",8762,1,"y","nat","right",0,"2","n","0_right","match"
"7832",8769,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7833",8770,1,"y","nat","right",0,"2","n","0_right","match"
"7838",8775,1,"y","nat","right",0,"2","n","0_right","match"
"7839",8776,1,"y","nat","right",0,"2","n","0_right","match"
"7847",8784,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7848",8785,1,"y","art","right",1,"2","n","1_right","mismatch"
"7856",8791,2,"y","art","left",0,"2","n","0_left","mismatch"
"7858",8796,1,"y","nat","right",1,"2","n","1_right","mismatch"
"7862",8800,1,"y","nat","right",0,"2","n","0_right","match"
"7865",8803,1,"y","art","left",0,"1","","0_left","mismatch"
"7876",8819,1,"y","nat","left",0,"2","n","0_left","mismatch"
"7883",8827,1,"y","art","right",0,"2","n","0_right","match"
"7888",8831,2,"y","art","right",1,"2","n","1_right","mismatch"
"7898",8845,1,"y","art","left",0,"2","n","0_left","mismatch"
"7901",8848,2,"y","art","right",1,"1","","1_right","mismatch"
"7909",8866,1,"y","art","left",0,"2","n","0_left","mismatch"
"7919",8875,1,"y","art","left",0,"1","","0_left","mismatch"
"7921",8877,1,"y","nat","right",0,"2","n","0_right","match"
"7926",8882,1,"y","art","left",1,"2","n","1_left","match"
"7929",8885,1,"y","nat","left",1,"2","n","1_left","match"
"7935",8891,1,"y","nat","right",1,"1","","1_right","mismatch"
"7936",8892,1,"y","art","left",0,"2","y","0_left","mismatch"
"7937",8893,1,"y","art","right",1,"2","y","1_right","mismatch"
"7944",8900,1,"y","nat","left",1,"2","n","1_left","match"
"7951",8906,2,"y","art","left",0,"2","n","0_left","mismatch"
"7952",8907,1,"y","nat","left",1,"2","n","1_left","match"
"7957",8912,1,"y","art","right",0,"2","n","0_right","match"
"7982",8936,1,"y","art","left",0,"1","","0_left","mismatch"
"7983",8937,1,"y","art","right",0,"2","n","0_right","match"
"7997",8952,1,"y","nat","right",0,"2","y","0_right","match"
"7998",8954,1,"y","nat","left",0,"1","","0_left","mismatch"
"8026",8982,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8029",8986,1,"y","nat","left",1,"2","y","1_left","match"
"8030",8987,1,"y","nat","right",0,"2","n","0_right","match"
"8033",8990,1,"y","nat","left",1,"2","n","1_left","match"
"8040",8997,1,"y","nat","left",0,"1","","0_left","mismatch"
"8041",8998,1,"y","art","left",1,"2","n","1_left","match"
"8042",8999,1,"y","art","left",1,"2","n","1_left","match"
"8043",9000,1,"y","art","left",1,"2","y","1_left","match"
"8055",9012,1,"y","art","left",1,"2","n","1_left","match"
"8059",9016,1,"y","art","right",0,"2","y","0_right","match"
"8061",9018,1,"y","art","right",0,"2","n","0_right","match"
"8062",9019,1,"y","art","right",0,"2","n","0_right","match"
"8063",9019,2,"y","art","right",0,"2","n","0_right","match"
"8073",9029,1,"y","art","right",1,"2","n","1_right","mismatch"
"8074",9030,1,"y","art","right",0,"2","n","0_right","match"
"8079",9035,1,"y","art","right",0,"2","n","0_right","match"
"8082",9038,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8083",9039,1,"y","art","left",0,"2","n","0_left","mismatch"
"8085",9041,1,"y","nat","left",0,"0","","0_left","mismatch"
"8088",9044,1,"y","art","left",0,"2","n","0_left","mismatch"
"8089",9045,1,"y","art","right",1,"2","n","1_right","mismatch"
"8094",9049,1,"y","nat","right",0,"2","n","0_right","match"
"8097",9053,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8103",9059,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8104",9060,1,"y","nat","right",0,"2","y","0_right","match"
"8107",9063,1,"y","art","right",0,"2","n","0_right","match"
"8111",9063,5,"y","art","left",0,"2","n","0_left","mismatch"
"8114",9067,1,"y","nat","left",1,"2","n","1_left","match"
"8116",9069,1,"y","nat","left",1,"2","n","1_left","match"
"8117",9070,1,"y","art","right",0,"2","n","0_right","match"
"8120",9075,1,"y","art","left",1,"2","n","1_left","match"
"8121",9077,1,"y","art","left",1,"1","","1_left","match"
"8130",9088,1,"y","art","left",1,"2","n","1_left","match"
"8131",9089,1,"y","nat","left",1,"2","n","1_left","match"
"8132",9090,1,"y","nat","left",1,"2","n","1_left","match"
"8140",9099,1,"y","art","left",0,"2","y","0_left","mismatch"
"8148",9107,1,"y","art","right",0,"2","n","0_right","match"
"8150",9109,1,"y","nat","right",0,"2","n","0_right","match"
"8151",9110,1,"y","nat","left",1,"2","y","1_left","match"
"8153",9112,1,"y","art","right",0,"2","n","0_right","match"
"8154",9113,1,"y","art","right",1,"2","n","1_right","mismatch"
"8164",9123,1,"y","art","left",1,"2","n","1_left","match"
"8169",9128,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8184",9144,1,"y","art","right",0,"2","n","0_right","match"
"8188",9146,1,"y","art","right",0,"2","n","0_right","match"
"8199",9160,1,"y","nat","left",1,"2","n","1_left","match"
"8200",9161,1,"y","art","right",0,"2","n","0_right","match"
"8202",9163,1,"y","nat","left",1,"2","n","1_left","match"
"8203",9164,1,"y","art","right",0,"2","n","0_right","match"
"8204",9165,1,"y","nat","right",0,"2","n","0_right","match"
"8207",9168,1,"y","art","right",0,"1","","0_right","match"
"8234",9199,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8236",9201,1,"y","nat","right",0,"2","n","0_right","match"
"8245",9212,1,"y","art","right",0,"2","y","0_right","match"
"8246",9213,1,"y","art","left",1,"2","n","1_left","match"
"8249",9215,1,"y","nat","left",1,"2","n","1_left","match"
"8252",9218,1,"y","art","left",1,"2","y","1_left","match"
"8253",9219,1,"y","art","left",0,"2","n","0_left","mismatch"
"8258",9225,1,"y","nat","right",0,"2","n","0_right","match"
"8268",9234,1,"y","nat","right",0,"2","n","0_right","match"
"8270",9237,1,"y","nat","right",0,"2","n","0_right","match"
"8271",9238,1,"y","art","right",1,"2","y","1_right","mismatch"
"8275",9245,1,"y","nat","right",0,"2","n","0_right","match"
"8278",9248,1,"y","nat","right",0,"2","n","0_right","match"
"8279",9249,1,"y","nat","left",1,"2","n","1_left","match"
"8282",9253,1,"y","nat","right",0,"2","n","0_right","match"
"8285",9265,1,"y","nat","left",1,"2","n","1_left","match"
"8287",9268,1,"y","nat","right",0,"2","n","0_right","match"
"8290",9274,1,"y","nat","left",1,"2","n","1_left","match"
"8292",9276,1,"y","nat","right",0,"2","n","0_right","match"
"8293",9277,1,"y","nat","right",0,"2","n","0_right","match"
"8294",9278,1,"y","nat","right",0,"2","n","0_right","match"
"8295",9279,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8299",9283,1,"y","art","left",0,"2","n","0_left","mismatch"
"8300",9284,1,"y","art","left",0,"2","n","0_left","mismatch"
"8301",9285,1,"y","art","left",1,"2","y","1_left","match"
"8302",9286,1,"y","art","left",0,"2","n","0_left","mismatch"
"8303",9287,1,"y","art","left",0,"2","n","0_left","mismatch"
"8304",9289,1,"y","art","right",0,"2","n","0_right","match"
"8319",9305,1,"y","art","left",0,"2","n","0_left","mismatch"
"8320",9306,1,"y","art","right",0,"2","n","0_right","match"
"8321",9306,2,"y","art","left",0,"2","n","0_left","mismatch"
"8322",9307,1,"y","art","left",1,"2","y","1_left","match"
"8326",9311,1,"y","art","left",0,"2","y","0_left","mismatch"
"8327",9312,1,"y","art","left",0,"2","y","0_left","mismatch"
"8328",9313,1,"y","art","left",0,"2","y","0_left","mismatch"
"8329",9314,1,"y","art","left",1,"2","y","1_left","match"
"8330",9316,1,"y","art","left",1,"2","y","1_left","match"
"8334",9320,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8340",9325,2,"y","art","left",0,"2","n","0_left","mismatch"
"8341",9326,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8350",9335,1,"y","nat","right",0,"2","n","0_right","match"
"8354",9339,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8358",9343,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8364",9348,1,"y","nat","left",1,"2","n","1_left","match"
"8366",9351,1,"y","art","right",1,"2","n","1_right","mismatch"
"8377",9361,1,"y","nat","left",1,"2","n","1_left","match"
"8379",9363,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8380",9364,1,"y","nat","left",1,"2","n","1_left","match"
"8381",9366,1,"y","nat","right",0,"2","n","0_right","match"
"8383",9369,1,"y","nat","right",0,"2","n","0_right","match"
"8384",9369,2,"y","nat","left",1,"2","n","1_left","match"
"8385",9371,1,"y","nat","right",0,"2","n","0_right","match"
"8387",9373,1,"y","nat","left",1,"2","n","1_left","match"
"8394",9380,1,"y","art","left",0,"2","n","0_left","mismatch"
"8396",9383,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8400",9387,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8401",9389,1,"y","nat","right",1,"2","y","1_right","mismatch"
"8402",9390,1,"y","nat","right",1,"2","n","1_right","mismatch"
"8403",9391,1,"y","nat","right",0,"2","n","0_right","match"
"8404",9394,1,"y","art","right",0,"2","n","0_right","match"
"8417",9407,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8419",9410,1,"y","nat","right",0,"2","y","0_right","match"
"8421",9412,1,"y","nat","left",0,"2","n","0_left","mismatch"
"8422",9413,1,"y","nat","left",1,"2","n","1_left","match"
"8424",9414,2,"y","art","left",1,"2","n","1_left","match"
"8425",9415,1,"y","art","left",1,"2","n","1_left","match"
"8435",9425,1,"y","art","left",1,"2","n","1_left","match"
"8436",9426,1,"y","art","right",0,"2","n","0_right","match"
"8457",9451,1,"y","art","left",1,"2","y","1_left","match"
"8472",9467,1,"y","art","left",0,"2","n","0_left","mismatch"
"8478",9474,1,"y","art","right",0,"2","n","0_right","match"
"8479",9475,1,"y","art","right",1,"1","","1_right","mismatch"
"8484",9481,1,"y","art","right",1,"2","n","1_right","mismatch"
"8489",9489,1,"y","art","left",0,"2","n","0_left","mismatch"
"8491",9491,1,"y","nat","left",0,"1","","0_left","mismatch"
"8496",9496,1,"y","art","left",0,"2","n","0_left","mismatch"
"8498",9498,1,"y","art","left",1,"2","n","1_left","match"
